Original_Title,Cleaned_Title,Topic_Vector,Cluster,Cluster_Name
BEST *SIDEMEN HOUSE* MOMENTS!,best sidemen house moments,"[0.02633007 0.02633024 0.02633016 0.0263299  0.02633097 0.02633014
 0.27422598 0.0263301  0.0263299  0.46247178 0.02633071 0.02633004]",7,football_vs_most
MOST SAVAGE COMEBACKS OF ALL TIME!,most savage comebacks time,"[0.03078368 0.03078499 0.03078368 0.03078368 0.03078368 0.03078489
 0.40100127 0.03078368 0.03079461 0.29114694 0.03078523 0.03078368]",7,football_vs_most
SIDEMEN VS WORLDS BEST GEOGUESSR PLAYER,sidemen vs worlds best geoguessr player,"[0.02483269 0.02483286 0.02483283 0.02483307 0.02483292 0.02483269
 0.72683852 0.02483267 0.02483261 0.02483319 0.02483324 0.02483273]",7,football_vs_most
SIDEMEN FOOD TRUCK ROAD TRIP,sidemen food truck road trip,"[0.03116313 0.03116354 0.03116379 0.03116287 0.03116373 0.03116327
 0.41401769 0.03116287 0.27434629 0.03116389 0.03116578 0.03116315]",7,football_vs_most
SIDEMEN MOST EXPENSIVE CAR CHALLENGE,sidemen most expensive car challenge,"[0.02462902 0.02462915 0.02462914 0.02462897 0.02462913 0.02462909
 0.60642334 0.02462897 0.02462897 0.02462915 0.14728604 0.02462902]",7,football_vs_most
GUESS THE PRICE OR DO A FORFEIT,guess price do forfeit,"[0.03073009 0.24320865 0.2003764  0.03073009 0.03073055 0.03073009
 0.27984367 0.03073009 0.03073009 0.03073009 0.03073009 0.03073009]",7,football_vs_most
GUESS THE PRICE OR DO A FORFEIT,guess price do forfeit,"[0.03073009 0.24320865 0.2003764  0.03073009 0.03073055 0.03073009
 0.27984367 0.03073009 0.03073009 0.03073009 0.03073009 0.03073009]",7,football_vs_most
"SIDEMEN $10,000 VS $10 FOOTBALL MATCH",sidemen 10000 vs 10 football match,"[0.1229199  0.02346573 0.02346577 0.023466   0.02346577 0.02346564
 0.64242247 0.02346562 0.02346557 0.02346576 0.02346615 0.02346562]",7,football_vs_most
SIDEMEN FORFEIT FOOT GOLF,sidemen forfeit foot golf,"[0.03131949 0.28652624 0.03131996 0.0313193  0.03131992 0.03131959
 0.40027599 0.0313193  0.0313193  0.03132004 0.03132137 0.0313195 ]",7,football_vs_most
I Tried the BEST VS WORST Rated Takeaway,tried best vs worst rated takeaway,"[0.02842477 0.02842539 0.0284248  0.02842605 0.02842512 0.02842469
 0.44642856 0.02842489 0.02842647 0.02842592 0.26931844 0.0284249 ]",7,football_vs_most
スペイン代表 シュート練習 2022.9 Spain: Shooting Practice,20229 spain shooting practice,"[0.0305053  0.0305053  0.0305053  0.0305053  0.23948185 0.0305053
 0.45546512 0.0305053  0.0305053  0.0305053  0.0305053  0.0305053 ]",7,football_vs_most
スペイン代表 シュート練習 2022.6 Spain: Shooting Practice,20226 spain shooting practice,"[0.0305053  0.0305053  0.0305053  0.0305053  0.23948185 0.0305053
 0.45546512 0.0305053  0.0305053  0.0305053  0.0305053  0.0305053 ]",7,football_vs_most
The Insane History of Carnage,insane history carnage,"[0.03071891 0.03071891 0.28526342 0.03071891 0.03071891 0.03071891
 0.40754747 0.03071891 0.03071891 0.03071891 0.03071891 0.03071891]",7,football_vs_most
I Tested 24 Restaurants In 24 Hours...,tested 24 restaurants 24 hours,"[0.02873349 0.02873349 0.02873349 0.02873349 0.02873349 0.02873349
 0.54413615 0.02873349 0.16852876 0.02873366 0.02873349 0.02873349]",7,football_vs_most
Tate McRae - Sports car (Official Video),tate mcrae sports car official video,"[0.02449592 0.02449592 0.34272964 0.02449767 0.02449592 0.02449592
 0.31962258 0.1171827  0.02449592 0.02449592 0.02449592 0.02449599]",7,football_vs_most
The Best Year of Music,best year music,"[0.03072825 0.0307286  0.25102575 0.03072825 0.03072871 0.03072825
 0.4416886  0.03072829 0.03072825 0.03073023 0.03072825 0.03072856]",7,football_vs_most
Really Inconvenient Gifts || Family Guy #familyguy,really inconvenient gifts family guy familyguy,"[0.24063238 0.03050273 0.03050273 0.03050273 0.03050273 0.03050273
 0.24063237 0.03050273 0.03050273 0.03050273 0.24421066 0.03050273]",7,football_vs_most
Identifying garbage history books — Sarah Paine,identifying garbage history books sarah paine,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.54166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667]",7,football_vs_most
Revenge Moments in Football,revenge moments football,"[0.02838094 0.02838092 0.02838084 0.02838084 0.02838159 0.02838096
 0.68780919 0.02838103 0.02838084 0.02838116 0.02838084 0.02838084]",7,football_vs_most
"Football ""Strange"" MOMENTS",football strange moments,"[0.03452453 0.03452448 0.03452418 0.03452418 0.03452688 0.03452462
 0.62022837 0.03452488 0.03452418 0.03452533 0.03452418 0.03452418]",7,football_vs_most
"House of Cards Explained: Shakespeare, History & Guilty Pleasure",house cards explained shakespeare history guilty pleasure,"[0.21277188 0.02782065 0.18744975 0.02782065 0.02782065 0.02782065
 0.34939255 0.02782065 0.02782065 0.02782065 0.02782065 0.02782065]",7,football_vs_most
"MI VECINO TOTORO - Clip #2 Subtitulado ""Paraguas""",mi vecino totoro clip 2 subtitulado paraguas,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.54166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667]",7,football_vs_most
The 2024 Nobel Prize in Economics: Explained,2024 nobel prize economics explained,"[0.03452231 0.03452231 0.32119944 0.03452231 0.03452231 0.03452231
 0.33357745 0.03452231 0.03452231 0.03452231 0.03452231 0.03452231]",7,football_vs_most
Top 5 Black Person,top 5 black person,"[0.21666689 0.03088089 0.03088089 0.03088089 0.03088089 0.03088089
 0.29958801 0.03088089 0.03088089 0.03088089 0.03088089 0.20581708]",7,football_vs_most
2025 Bentley Continental GT - Road presence appropriate for a Bentley,2025 bentley continental gt road presence appropriate bentley,"[0.3361638  0.03452692 0.03452692 0.03452692 0.03452692 0.03452692
 0.318567   0.03452692 0.03452692 0.03452692 0.03452692 0.03452692]",7,football_vs_most
The Most Notorious Serial Killers Explained in 24 Minutes,most notorious serial killers explained 24 minutes,"[0.0279723  0.0279725  0.19930986 0.0279723  0.0279723  0.02797248
 0.36753979 0.0279723  0.02797334 0.0279723  0.18139825 0.0279723 ]",7,football_vs_most
My Most Brutal Wingsuit Flight Ever | Täschhorn 4491m | Swiss,most brutal wingsuit flight ever tschhorn 4491m swiss,"[0.03094699 0.03094759 0.03094699 0.03094699 0.03094699 0.03094718
 0.65958234 0.03094699 0.03094699 0.03094699 0.03094699 0.03094699]",7,football_vs_most
8 Flugtag Designs We'll Never Forget | Red Bull Flugtag,8 flugtag designs well never forget red bull flugtag,"[0.03060463 0.27097176 0.03060463 0.03060463 0.03060463 0.03060604
 0.23454865 0.2190365  0.03060463 0.03060463 0.03060463 0.03060463]",7,football_vs_most
Red Bull Stalen Ros Sweden,red bull stalen ros sweden,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166814
 0.54166519 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667]",7,football_vs_most
London's BEST CRASHES EVER #redbullsoapboxrace #londoncrashes #soapboxracecrashes #london,londons best crashes ever redbullsoapboxrace londoncrashes soapboxracecrashes london,"[0.03086744 0.03086782 0.03086744 0.03086744 0.03086769 0.03086751
 0.66045627 0.03086746 0.03086744 0.03086845 0.03086744 0.03086761]",7,football_vs_most
Most INSANE POV Lines I Rode This Year!,most insane pov lines rode year,"[0.02438243 0.02438248 0.02438243 0.15176218 0.02438243 0.02438248
 0.60441339 0.02438243 0.02438243 0.02438243 0.02438243 0.02438243]",7,football_vs_most
The Family Guy Intro but Race Swapped,family guy intro race swapped,"[0.02783008 0.02783008 0.02783008 0.02783008 0.02783008 0.02783008
 0.37337227 0.18822153 0.02783008 0.02783008 0.18793552 0.02783008]",7,football_vs_most
First meme of 2024?,first meme 2024,"[0.03058714 0.26540816 0.03058714 0.03058714 0.03058714 0.03058781
 0.24243231 0.03058714 0.03058714 0.03058714 0.21687458 0.03058714]",7,football_vs_most
The First Meme Of 2024!!!,first meme 2024,"[0.03058714 0.26540816 0.03058714 0.03058714 0.03058714 0.03058781
 0.24243231 0.03058714 0.03058714 0.03058714 0.21687458 0.03058714]",7,football_vs_most
Legendary Road | 100 km/h,legendary road 100 kmh,"[0.03057952 0.03057952 0.03057952 0.03057952 0.03057952 0.03057952
 0.47910138 0.21510344 0.03057952 0.03057952 0.03057952 0.03057952]",7,football_vs_most
THE WORLD'S BEST GOLF HALFWAY HUT?!,worlds best golf halfway hut,"[0.03077814 0.28498404 0.03077814 0.03077814 0.03077855 0.03077814
 0.40723226 0.03077817 0.03077814 0.03077976 0.03077814 0.03077841]",7,football_vs_most
The WORST Superhero Movies EVER,worst superhero movies ever,"[0.03066107 0.03066189 0.03066107 0.03066107 0.03066107 0.03066119
 0.41605971 0.27732612 0.03066358 0.03066107 0.03066107 0.03066107]",7,football_vs_most
MONKEY KING Full Movie (2024) 4K ULTRA HD Action Fantasy,monkey king full movie 2024 4k ultra hd action fantasy,"[0.14238575 0.02296086 0.02296086 0.02296207 0.02296086 0.35055208
 0.30041307 0.02296086 0.02296086 0.02296086 0.02296086 0.02296102]",7,football_vs_most
BIG WEDGE 2v2 GOLF MATCH IN SPAIN!,big wedge 2v2 golf match spain,"[0.0242575  0.48593056 0.0242575  0.0242575  0.0242575  0.0242575
 0.27149441 0.0242575  0.0242575  0.0242575  0.0242575  0.0242575 ]",7,football_vs_most
Legendary Goalkeeper Saves 2024,legendary goalkeeper saves 2024,"[0.02784423 0.02784423 0.02784423 0.02784423 0.02784423 0.02784423
 0.51149819 0.21005954 0.02784423 0.02784423 0.02784423 0.02784423]",7,football_vs_most
SIDEMEN vs SIDEMEN TEAM FOOTBALL CHALLENGE,sidemen vs sidemen team football challenge,"[0.02221364 0.25810307 0.02221383 0.02221402 0.02221381 0.02221365
 0.42070051 0.0222136  0.02221354 0.02221382 0.1212729  0.02221361]",7,football_vs_most
"Football ""Most Impossible"" MOMENTS",football most impossible moments,"[0.02824862 0.0282487  0.02824851 0.02824851 0.02824936 0.02824873
 0.68926442 0.02824873 0.02824851 0.02824888 0.02824851 0.02824851]",7,football_vs_most
Legendary Red Cards in Football,legendary red cards football,"[0.33527043 0.02603409 0.02603409 0.02603409 0.02603409 0.02603444
 0.4043883  0.02603409 0.02603409 0.02603409 0.02603409 0.02603409]",7,football_vs_most
Dirty Plays in Football,dirty plays football,"[0.03095095 0.03095095 0.03095095 0.03095095 0.25929643 0.03095095
 0.43119405 0.03095095 0.03095095 0.03095095 0.03095095 0.03095095]",7,football_vs_most
24 Hours to Score a Goal in the Furthest Country,24 hours score goal furthest country,"[0.02421066 0.29029428 0.02421066 0.02421066 0.02421066 0.02421066
 0.46759893 0.02421066 0.02421066 0.02421081 0.02421066 0.02421066]",7,football_vs_most
The Genius Design of Communist Memorials,genius design communist memorials,"[0.03452895 0.03452895 0.03452895 0.03452895 0.03452895 0.03452895
 0.62018155 0.03452895 0.03452895 0.03452895 0.03452895 0.03452895]",7,football_vs_most
Mistakes but they get increasingly more embarrassing,mistakes get increasingly more embarrassing,"[0.02302932 0.02302932 0.02302932 0.02302932 0.18346554 0.02302932
 0.474012   0.1352586  0.02302932 0.02302932 0.02302932 0.02302932]",7,football_vs_most
"El Clasico - Best Fights,Fouls,Dives & Red Cards - HD",el clasico best fightsfoulsdives red cards hd,"[0.3068999  0.02447522 0.0244751  0.0244751  0.02447525 0.0244753
 0.44834789 0.02447511 0.0244751  0.0244757  0.0244751  0.0244752 ]",7,football_vs_most
2024 BOMB drives but they go increasingly farther off the tee,2024 bomb drives go increasingly farther off tee,"[0.0278692  0.0278692  0.0278692  0.18777245 0.0278692  0.0278692
 0.38003244 0.0278692  0.0278692  0.18137234 0.0278692  0.0278692 ]",7,football_vs_most
Are You a World Geography GENIUS? Take This Test!,world geography genius take test,"[0.02798307 0.02798108 0.02798108 0.02798854 0.02798108 0.02798108
 0.34168383 0.02798108 0.02798108 0.20180886 0.20466812 0.02798108]",7,football_vs_most
0% Respect Moments in Football,0 respect moments football,"[0.02847107 0.02847105 0.02847094 0.02847094 0.02847198 0.02847111
 0.44299349 0.27229523 0.02847094 0.02847139 0.02847094 0.02847094]",7,football_vs_most
SIDEMEN 4 vs 4 ON FC25 RUSH,sidemen 4 vs 4 fc25 rush,"[0.02887934 0.02887962 0.02887976 0.02888049 0.02887974 0.02887934
 0.4557395  0.02887928 0.25546296 0.02887972 0.02888098 0.02887927]",7,football_vs_most
Coyote's Most Painful Encounters!,coyotes most painful encounters,"[0.04166667 0.04166739 0.04166667 0.04166667 0.04166667 0.04166731
 0.5416653  0.04166667 0.04166667 0.04166667 0.04166667 0.04166667]",7,football_vs_most
Revenge & Karma Moments in Football,revenge karma moments football,"[0.02632149 0.02632148 0.02632141 0.02632141 0.02632202 0.02632151
 0.51595156 0.02632157 0.02632141 0.22083329 0.02632141 0.02632141]",7,football_vs_most
Genius Plays in Football 2025 ᴴᴰ,genius plays football 2025,"[0.21594995 0.02811117 0.02811117 0.02811117 0.2020935  0.02811117
 0.328956   0.02811117 0.02811117 0.02811117 0.02811117 0.02811117]",7,football_vs_most
MY EURO 2024 PREDICTIONS,euro 2024 predictions,"[0.03461594 0.03461594 0.03461594 0.03461594 0.03461594 0.03461594
 0.61922465 0.03461594 0.03461594 0.03461594 0.03461594 0.03461594]",7,football_vs_most
