Original_Title,Cleaned_Title,Cluster,Cluster_Name
Fulham v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 3/2/2024 | NBC Sports,fulham v brighton premier league highlights 322024 nbc sports,8,Sports
Tottenham Hotspur v. Crystal Palace | PREMIER LEAGUE HIGHLIGHTS | 3/2/2024 | NBC Sports,tottenham hotspur v crystal palace premier league highlights 322024 nbc sports,8,Sports
Brentford v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 3/2/2024 | NBC Sports,brentford v chelsea premier league highlights 322024 nbc sports,8,Sports
Aston Villa v. Nottingham Forest | PREMIER LEAGUE HIGHLIGHTS | 2/24/2024 | NBC Sports,aston villa v nottingham forest premier league highlights 2242024 nbc sports,8,Sports
Brighton v. Everton | PREMIER LEAGUE HIGHLIGHTS | 2/24/2024 | NBC Sports,brighton v everton premier league highlights 2242024 nbc sports,8,Sports
Manchester United v. Fulham | PREMIER LEAGUE HIGHLIGHTS | 2/24/2024 | NBC Sports,manchester united v fulham premier league highlights 2242024 nbc sports,8,Sports
Arsenal v. Newcastle United | PREMIER LEAGUE HIGHLIGHTS | 2/24/2024 | NBC Sports,arsenal v newcastle united premier league highlights 2242024 nbc sports,8,Sports
Liverpool v. Luton Town | PREMIER LEAGUE HIGHLIGHTS | 2/21/2024 | NBC Sports,liverpool v luton town premier league highlights 2212024 nbc sports,8,Sports
Everton v. Crystal Palace | PREMIER LEAGUE HIGHLIGHTS | 2/19/2024 | NBC Sports,everton v crystal palace premier league highlights 2192024 nbc sports,8,Sports
Sheffield United v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 2/18/2024 | NBC Sports,sheffield united v brighton premier league highlights 2182024 nbc sports,8,Sports
Nottingham Forest v. West Ham United | PREMIER LEAGUE HIGHLIGHTS | 2/17/2024 | NBC Sports,nottingham forest v west ham united premier league highlights 2172024 nbc sports,8,Sports
Luton Town v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 2/18/2024 | NBC Sports,luton town v manchester united premier league highlights 2182024 nbc sports,8,Sports
Tottenham Hotspur v. Wolves | PREMIER LEAGUE HIGHLIGHTS | 2/17/2024 | NBC Sports,tottenham hotspur v wolves premier league highlights 2172024 nbc sports,8,Sports
Brentford v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 2/17/2024 | NBC Sports,brentford v liverpool premier league highlights 2172024 nbc sports,8,Sports
Burnley v. Arsenal | PREMIER LEAGUE HIGHLIGHTS | 2/17/2024 | NBC Sports,burnley v arsenal premier league highlights 2172024 nbc sports,8,Sports
Aston Villa v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 2/11/2024 | NBC Sports,aston villa v manchester united premier league highlights 2112024 nbc sports,8,Sports
West Ham United v. Arsenal | PREMIER LEAGUE HIGHLIGHTS | 2/11/2024 | NBC Sports,west ham united v arsenal premier league highlights 2112024 nbc sports,8,Sports
Liverpool v. Burnley | PREMIER LEAGUE HIGHLIGHTS | 2/10/2024 | NBC Sports,liverpool v burnley premier league highlights 2102024 nbc sports,8,Sports
Aston Villa vs. Chelsea | FA Cup Highlights | ESPN FC,aston villa chelsea fa cup highlights espn fc,8,Sports
Arsenal v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 2/4/2024 | NBC Sports,arsenal v liverpool premier league highlights 242024 nbc sports,8,Sports
Aston Villa v. Newcastle United | PREMIER LEAGUE HIGHLIGHTS | 1/30/2024 | NBC Sports,aston villa v newcastle united premier league highlights 1302024 nbc sports,8,Sports
Brighton v. Crystal Palace | PREMIER LEAGUE HIGHLIGHTS | 2/3/2024 | NBC Sports,brighton v crystal palace premier league highlights 232024 nbc sports,8,Sports
Manchester United v. West Ham United | PREMIER LEAGUE HIGHLIGHTS | 2/4/2024 | NBC Sports,manchester united v west ham united premier league highlights 242024 nbc sports,8,Sports
Chelsea v. Wolves | PREMIER LEAGUE HIGHLIGHTS | 2/4/2024 | NBC Sports,chelsea v wolves premier league highlights 242024 nbc sports,8,Sports
Everton v. Tottenham Hotspur | PREMIER LEAGUE HIGHLIGHTS | 2/3/2024 | NBC Sports,everton v tottenham hotspur premier league highlights 232024 nbc sports,8,Sports
Newcastle United v. Luton Town | PREMIER LEAGUE HIGHLIGHTS | 2/3/2024 | NBC Sports,newcastle united v luton town premier league highlights 232024 nbc sports,8,Sports
Tottenham Hotspur v. Brentford | PREMIER LEAGUE HIGHLIGHTS | 1/31/2024 | NBC Sports,tottenham hotspur v brentford premier league highlights 1312024 nbc sports,8,Sports
Wolves v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 2/1/2024 | NBC Sports,wolves v manchester united premier league highlights 212024 nbc sports,8,Sports
Bournemouth v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 1/21/2024 | NBC Sports,bournemouth v liverpool premier league highlights 1212024 nbc sports,8,Sports
Sheffield United v. West Ham United | PREMIER LEAGUE HIGHLIGHTS | 1/21/2024 | NBC Sports,sheffield united v west ham united premier league highlights 1212024 nbc sports,8,Sports
Arsenal v. Crystal Palace | PREMIER LEAGUE HIGHLIGHTS | 1/20/2024 | NBC Sports,arsenal v crystal palace premier league highlights 1202024 nbc sports,8,Sports
Newcastle United v. Manchester City | PREMIER LEAGUE HIGHLIGHTS | 1/13/2024 | NBC Sports,newcastle united v manchester city premier league highlights 1132024 nbc sports,8,Sports
Manchester United v. Tottenham Hotspur | PREMIER LEAGUE HIGHLIGHTS | 1/14/2024 | NBC Sports,manchester united v tottenham hotspur premier league highlights 1142024 nbc sports,8,Sports
Burnley v. Luton Town | PREMIER LEAGUE HIGHLIGHTS | 1/12/2024 | NBC Sports,burnley v luton town premier league highlights 1122024 nbc sports,8,Sports
Everton v. Aston Villa | PREMIER LEAGUE HIGHLIGHTS | 1/14/2024 | NBC Sports,everton v aston villa premier league highlights 1142024 nbc sports,8,Sports
Chelsea v. Fulham | PREMIER LEAGUE HIGHLIGHTS | 1/13/2024 | NBC Sports,chelsea v fulham premier league highlights 1132024 nbc sports,8,Sports
Tottenham Hotspur v. Bournemouth | PREMIER LEAGUE HIGHLIGHTS | 12/31/2023 | NBC Sports,tottenham hotspur v bournemouth premier league highlights 12312023 nbc sports,8,Sports
Aston Villa v. Burnley | PREMIER LEAGUE HIGHLIGHTS | 12/30/2023 | NBC Sports,aston villa v burnley premier league highlights 12302023 nbc sports,8,Sports
Luton Town v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 12/30/2023 | NBC Sports,luton town v chelsea premier league highlights 12302023 nbc sports,8,Sports
Nottingham Forest v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 12/30/2023 | NBC Sports,nottingham forest v manchester united premier league highlights 12302023 nbc sports,8,Sports
Arsenal v. West Ham United | PREMIER LEAGUE HIGHLIGHTS | 12/28/2023 | NBC Sports,arsenal v west ham united premier league highlights 12282023 nbc sports,8,Sports
Brighton v. Tottenham Hotspur | PREMIER LEAGUE HIGHLIGHTS | 12/28/2023 | NBC Sports,brighton v tottenham hotspur premier league highlights 12282023 nbc sports,8,Sports
Sheffield United v. Luton Town | PREMIER LEAGUE HIGHLIGHTS | 12/26/2023 | NBC Sports,sheffield united v luton town premier league highlights 12262023 nbc sports,8,Sports
West Ham United v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 12/23/2023 | NBC Sports,west ham united v manchester united premier league highlights 12232023 nbc sports,8,Sports
Liverpool v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 12/17/2023 | NBC Sports,liverpool v manchester united premier league highlights 12172023 nbc sports,8,Sports
Arsenal v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 12/17/2023 | NBC Sports,arsenal v brighton premier league highlights 12172023 nbc sports,8,Sports
Newcastle United v. Fulham | PREMIER LEAGUE HIGHLIGHTS | 12/16/2023 | NBC Sports,newcastle united v fulham premier league highlights 12162023 nbc sports,8,Sports
Manchester City v. Crystal Palace | PREMIER LEAGUE HIGHLIGHTS | 12/16/2023 | NBC Sports,manchester city v crystal palace premier league highlights 12162023 nbc sports,8,Sports
Everton v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 12/10/2023 | NBC Sports,everton v chelsea premier league highlights 12102023 nbc sports,8,Sports
Luton Town v. Arsenal | PREMIER LEAGUE HIGHLIGHTS | 12/5/2023 | NBC Sports,luton town v arsenal premier league highlights 1252023 nbc sports,8,Sports
Aston Villa v. Manchester City | PREMIER LEAGUE HIGHLIGHTS | 12/6/2023 | NBC Sports,aston villa v manchester city premier league highlights 1262023 nbc sports,8,Sports
Wolves v. Burnley | PREMIER LEAGUE HIGHLIGHTS | 12/5/2023 | NBC Sports,wolves v burnley premier league highlights 1252023 nbc sports,8,Sports
Luton Town v. Arsenal | PREMIER LEAGUE HIGHLIGHTS | 12/5/2023 | NBC Sports,luton town v arsenal premier league highlights 1252023 nbc sports,8,Sports
Liverpool v. Fulham | PREMIER LEAGUE HIGHLIGHTS | 12/3/2023 | NBC Sports,liverpool v fulham premier league highlights 1232023 nbc sports,8,Sports
Chelsea v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 12/3/2023 | NBC Sports,chelsea v brighton premier league highlights 1232023 nbc sports,8,Sports
Arsenal v. Wolves | PREMIER LEAGUE HIGHLIGHTS | 12/2/2023 | NBC Sports,arsenal v wolves premier league highlights 1222023 nbc sports,8,Sports
Newcastle United v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 12/2/2023 | NBC Sports,newcastle united v manchester united premier league highlights 1222023 nbc sports,8,Sports
Maddison's laser puts Leicester City ahead late against Tottenham | Premier League | NBC Sports,maddisons laser puts leicester city ahead late tottenham premier league nbc sports,8,Sports
Leicester City v. Tottenham Hotspur | PREMIER LEAGUE HIGHLIGHTS | 1/19/2022 | NBC Sports,leicester city v tottenham hotspur premier league highlights 1192022 nbc sports,8,Sports
NEW FOREST MAP! - TOWER UNITE MINIGOLF,forest map tower unite minigolf,8,Sports
Chelsea v. Manchester City | PREMIER LEAGUE HIGHLIGHTS | 11/12/2023 | NBC Sports,chelsea v manchester city premier league highlights 11122023 nbc sports,8,Sports
Arsenal v. Burnley | PREMIER LEAGUE HIGHLIGHTS | 11/11/2023 | NBC Sports,arsenal v burnley premier league highlights 11112023 nbc sports,8,Sports
Liverpool v. Brentford | PREMIER LEAGUE HIGHLIGHTS | 11/12/2023 | NBC Sports,liverpool v brentford premier league highlights 11122023 nbc sports,8,Sports
Tottenham Hotspur v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 11/6/2023 | NBC Sports,tottenham hotspur v chelsea premier league highlights 1162023 nbc sports,8,Sports
Manchester United vs. Newcastle | Carabao Cup Highlights | ESPN FC,manchester united newcastle carabao cup highlights espn fc,8,Sports
Brighton v. Fulham | PREMIER LEAGUE HIGHLIGHTS | 10/29/2023 | NBC Sports,brighton v fulham premier league highlights 10292023 nbc sports,8,Sports
Liverpool v. Nottingham Forest | PREMIER LEAGUE HIGHLIGHTS | 10/29/2023 | NBC Sports,liverpool v nottingham forest premier league highlights 10292023 nbc sports,8,Sports
Manchester United v. Manchester City | PREMIER LEAGUE HIGHLIGHTS | 10/29/2023 | NBC Sports,manchester united v manchester city premier league highlights 10292023 nbc sports,8,Sports
Chelsea v. Brentford | PREMIER LEAGUE HIGHLIGHTS | 10/28/2023 | NBC Sports,chelsea v brentford premier league highlights 10282023 nbc sports,8,Sports
Arsenal v. Sheffield United | PREMIER LEAGUE HIGHLIGHTS | 10/28/2023 | NBC Sports,arsenal v sheffield united premier league highlights 10282023 nbc sports,8,Sports
Aston Villa v. West Ham United | PREMIER LEAGUE HIGHLIGHTS | 10/22/2023 | NBC Sports,aston villa v west ham united premier league highlights 10222023 nbc sports,8,Sports
