Original_Title,Cleaned_Title,Cluster,Cluster_Name
$5400 NYC apartment #surprisegift #LGStanbyME https://linktr.ee/lg.stanbyme,5400 nyc apartment surprisegift lgstanbyme httpslinktreelgstanbyme,4,nyc / apartment / tour / la / penthouse
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$4000 NYC apartment #shorts #nyc,4000 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$3600 NYC apartment #shorts #nyc,3600 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$1700 NYC apartment #shorts #nyc,1700 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
1 million LA trailer #shorts #la,million la la,4,nyc / apartment / tour / la / penthouse
$$$ NYC apartment #shorts @haleyybaylee,nyc apartment haleyybaylee,4,nyc / apartment / tour / la / penthouse
@max $$$ home tour,max home tour,4,nyc / apartment / tour / la / penthouse
$1.6M NYC apartment #shorts #nyc,16m nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$$$ NYC apartment #LGStanbyME #shorts #nyc,nyc apartment lgstanbyme nyc,4,nyc / apartment / tour / la / penthouse
$$$ LA home #shorts #nyc,la home nyc,4,nyc / apartment / tour / la / penthouse
$1.3 million LA apartment #shorts #la,13 million la apartment la,4,nyc / apartment / tour / la / penthouse
This Futuristic Tiny-House Will Change NYC Forever…,futuristic tinyhouse will change nyc forever,4,nyc / apartment / tour / la / penthouse
"What $18,000,000 Gets you in SOHO | NYC APARTMENT TOURS",18000000 gets soho nyc apartment tours,4,nyc / apartment / tour / la / penthouse
"What $18,000,000 Gets you in SOHO | NYC APARTMENT TOURS",18000000 gets soho nyc apartment tours,4,nyc / apartment / tour / la / penthouse
$3300 NYC apartment #shorts #nyc,3300 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
"What $18,000,000 Gets you in SOHO | NYC APARTMENT TOURS",18000000 gets soho nyc apartment tours,4,nyc / apartment / tour / la / penthouse
"What $18,000,000 Gets you in SOHO | NYC APARTMENT TOURS",18000000 gets soho nyc apartment tours,4,nyc / apartment / tour / la / penthouse
"Renting a NYC Penthouse for $3,800 a Month #shorts #nyc #realestate",renting nyc penthouse 3800 month nyc realestate,4,nyc / apartment / tour / la / penthouse
"$10,000 Hong Kong apartment #shorts #nyc",10000 hong kong apartment nyc,4,nyc / apartment / tour / la / penthouse
ABANDONED JAPANESE APARTMENT #shorts #nyc  @ANTONINJAPAN,abandoned japanese apartment nyc antoninjapan,4,nyc / apartment / tour / la / penthouse
Living in a Tiny-Apartment… 80 Floors Above NYC!,living tinyapartment 80 floors above nyc,4,nyc / apartment / tour / la / penthouse
LA BEST PIZZA 🍕 #shorts #nyc,la pizza nyc,4,nyc / apartment / tour / la / penthouse
"Touring the $250,000,000 Highest Penthouse IN THE WORLD",touring 250000000 highest penthouse,4,nyc / apartment / tour / la / penthouse
$39 LA apartment #shorts #nyc,39 la apartment nyc,4,nyc / apartment / tour / la / penthouse
100 Year Old NYC Tiny-House #nycapartments #shorts,100 year old nyc tinyhouse nycapartments,4,nyc / apartment / tour / la / penthouse
NYC Apartment Hunt: Touring 12 NYC Apartments (videos + rent),nyc apartment hunt touring 12 nyc apartments videos rent,4,nyc / apartment / tour / la / penthouse
Living in NYC’s Best Box-Apartment…,living nycs boxapartment,4,nyc / apartment / tour / la / penthouse
APARTMENT TOUR | small toronto condo #shorts,apartment tour small toronto condo,4,nyc / apartment / tour / la / penthouse
come tour my apartment in 📍Toronto & furniture shop with me 🫶,come tour apartment toronto furniture shop,4,nyc / apartment / tour / la / penthouse
"Condo tour Toronto downtown, 2bed apartment #shorts",condo tour toronto downtown 2bed apartment,4,nyc / apartment / tour / la / penthouse
Living in a Tiny-Box Apartment… With NYC’s Best View,living tinybox apartment nycs view,4,nyc / apartment / tour / la / penthouse
"MY $2,500,000 FULL APARTMENT TOUR",2500000 apartment tour,4,nyc / apartment / tour / la / penthouse
Insane 2-STORY PENTHOUSE in Miami! #realestate #luxury #luxurytours #mansion,insane 2story penthouse miami realestate luxury luxurytours mansion,4,nyc / apartment / tour / la / penthouse
$$$$ LA apartment #shorts #la @TrevorWallace,la apartment la trevorwallace,4,nyc / apartment / tour / la / penthouse
How SoHo NYC Became The Cast Iron District | Walking Tour | Architectural Digest,soho nyc became cast iron district walking tour architectural digest,4,nyc / apartment / tour / la / penthouse
TINY ROOFTOP NYC APARTMENT! #nyc #realestate #apartmenttour #newyork #nycapartment #shorts,tiny rooftop nyc apartment nyc realestate apartmenttour newyork nycapartment,4,nyc / apartment / tour / la / penthouse
$$$ LA apartment #shorts #la,la apartment la,4,nyc / apartment / tour / la / penthouse
$1800 NYC apartment #shorts #nyc,1800 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$3100 NYC apartment #shorts #nyc,3100 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
"$12,000,000 Apartment in J Lo’s Building #shorts #nyc #realestate",12000000 apartment j los building nyc realestate,4,nyc / apartment / tour / la / penthouse
"Renting a NYC Penthouse for $3,800 a Month #shorts #nyc #realestate",renting nyc penthouse 3800 month nyc realestate,4,nyc / apartment / tour / la / penthouse
"Welcome to My $28,000,000 Apartment #shorts #nyc #realestate",welcome 28000000 apartment nyc realestate,4,nyc / apartment / tour / la / penthouse
2.5 million NYC apartment #shorts #nyc,25 million nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
Living in a Sky Box-Apartment 43 Floors Above NYC…,living sky boxapartment 43 floors above nyc,4,nyc / apartment / tour / la / penthouse
"$135,000,000 NYC Penthouse views during the day or at night? #shorts",135000000 nyc penthouse views during day night,4,nyc / apartment / tour / la / penthouse
Guess the price of this NYC Duplex Penthouse Apartment #shorts,guess price nyc duplex penthouse apartment,4,nyc / apartment / tour / la / penthouse
"$5,200,000 Gramercy Park NYC Penthouse Tour  #shorts #nyc",5200000 gramercy park nyc penthouse tour nyc,4,nyc / apartment / tour / la / penthouse
"$10,000,000 Historic NYC West Village Apartment Tour #shorts #nyc",10000000 historic nyc west village apartment tour nyc,4,nyc / apartment / tour / la / penthouse
"$20,000,000 Uptown NYC Penthouse Apartment Tour #shorts #nyc",20000000 uptown nyc penthouse apartment tour nyc,4,nyc / apartment / tour / la / penthouse
Guess the price of this NYC Midtown Penthouse Apartment #shorts,guess price nyc midtown penthouse apartment,4,nyc / apartment / tour / la / penthouse
Guess the price of this Billionaires' Row penthouse in NYC 🤑 #shorts,guess price billionaires row penthouse nyc,4,nyc / apartment / tour / la / penthouse
"$20,000 Brooklyn Apartment Tour #shorts #nyc",20000 brooklyn apartment tour nyc,4,nyc / apartment / tour / la / penthouse
$1400 SMALLEST APARTMENT in NYC￼ #shorts #nyc,1400 smallest apartment nyc nyc,4,nyc / apartment / tour / la / penthouse
$4000 West Village NYC apartment tour #shorts #nyc,4000 west village nyc apartment tour nyc,4,nyc / apartment / tour / la / penthouse
"$25,000,000 NYC Penthouse Apartment Tour #shorts #nyc",25000000 nyc penthouse apartment tour nyc,4,nyc / apartment / tour / la / penthouse
"$45,000,000 Billionaires’ Row Penthouse in NYC 🤑 #shorts #nyc",45000000 billionaires row penthouse nyc nyc,4,nyc / apartment / tour / la / penthouse
"$33,000,000 NYC MANSION TOUR 🤑 #shorts #nyc",33000000 nyc mansion tour nyc,4,nyc / apartment / tour / la / penthouse
"$22,000,000 NYC Apartment tour! #shorts #nyc",22000000 nyc apartment tour nyc,4,nyc / apartment / tour / la / penthouse
$650 NYC APARTMENT TOUR #shorts #nyc,650 nyc apartment tour nyc,4,nyc / apartment / tour / la / penthouse
"$33,000,000 NYC PENTHOUSE VIEWS #shorts #nyc",33000000 nyc penthouse views nyc,4,nyc / apartment / tour / la / penthouse
"$14,000,000 Celebrities’ NYC Apartment Tour #shorts #nyc",14000000 celebrities nyc apartment tour nyc,4,nyc / apartment / tour / la / penthouse
"$40,000,000 Tribeca Townhouse Apartment Tour 🤑 #shorts #nyc",40000000 tribeca townhouse apartment tour nyc,4,nyc / apartment / tour / la / penthouse
