Original_Title,Cleaned_Title,Cluster,Cluster_Name
Inside Troian Bellisario & Patrick J. Adams’s Eclectic L.A. Home | Open Door | Architectural Digest,inside troian bellisario patrick j adamss eclectic la home open door architectural digest,6,Housing & Real Estate
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,6,Housing & Real Estate
$1535 NYC apartment #shorts #nyc,1535 nyc apartment nyc,6,Housing & Real Estate
$6500 NYC apartment #shorts #nyc,6500 nyc apartment nyc,6,Housing & Real Estate
"Touring the MOST EXPENSIVE HOUSE in the World | Normandy, France",touring expensive house world normandy france,6,Housing & Real Estate
$$$ Tour,tour,6,Housing & Real Estate
"$12,000 NYC apartment #shorts #nyc",12000 nyc apartment nyc,6,Housing & Real Estate
$89 NYC MICRO APARTMENT #shorts,89 nyc micro apartment,6,Housing & Real Estate
$2300 NYC apartment #shorts #nyc,2300 nyc apartment nyc,6,Housing & Real Estate
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,6,Housing & Real Estate
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,6,Housing & Real Estate
$2500 NYC apartment #LGStanbyMEGo,2500 nyc apartment lgstanbymego,6,Housing & Real Estate
"My New $5,000,000 Apartment Tour (at 18)",5000000 apartment tour 18,6,Housing & Real Estate
NYC Apartment Tour: $16 MILLION LUXURY APARTMENT,nyc apartment tour 16 million luxury apartment,6,Housing & Real Estate
INSIDE the LARGEST APARTMENT in New York City,inside largest apartment york city,6,Housing & Real Estate
Inside the MOST EXPENSIVE and HIGHEST Penthouse In the WORLD!,inside expensive highest penthouse world,6,Housing & Real Estate
"Touring the $250,000,000 Highest Penthouse IN THE WORLD",touring 250000000 highest penthouse world,6,Housing & Real Estate
NYC Apartment Tour: $10.8 MILLION Historic Tribeca Luxury Loft Apartment,nyc apartment tour 108 million historic tribeca luxury loft apartment,6,Housing & Real Estate
"INSIDE a $135,000,000 NYC Penthouse Apartment | NYC APARTMENT TOUR",inside 135000000 nyc penthouse apartment nyc apartment tour,6,Housing & Real Estate
Meet The NYC Millionaire Who Owns OIL SHIPS,meet nyc millionaire owns oil ships,6,Housing & Real Estate
$$$ NYC apartment #shorts @haleyybaylee,nyc apartment haleyybaylee,6,Housing & Real Estate
$1.6M NYC apartment #shorts #nyc,16m nyc apartment nyc,6,Housing & Real Estate
$$$ NYC apartment #LGStanbyME #shorts #nyc,nyc apartment lgstanbyme nyc,6,Housing & Real Estate
$600 Malibu apartment #shorts #california,600 malibu apartment california,6,Housing & Real Estate
$560 NYC apartment #shorts #nyc,560 nyc apartment nyc,6,Housing & Real Estate
$2700 NYC apartment #shorts #nyc,2700 nyc apartment nyc,6,Housing & Real Estate
surreal crane mission over nyc (raw),surreal crane mission nyc raw,6,Housing & Real Estate
How a Billionaire Lives: Unveiling the $38 Million NYC Penthouse of 'Succession's' Roman Roy!,how billionaire lives unveiling 38 million nyc penthouse successions roman roy,6,Housing & Real Estate
$5900 NYC apartment #shorts #nyc,5900 nyc apartment nyc,6,Housing & Real Estate
$3000 NYC apartment #shorts #nyc @JamesSeo,3000 nyc apartment nyc jamesseo,6,Housing & Real Estate
Scarlett Johansson office tour #shorts #nyc,scarlett johansson office tour nyc,6,Housing & Real Estate
$4100 NYC apartment #shorts #nyc,4100 nyc apartment nyc,6,Housing & Real Estate
$5400 NYC apartment #surprisegift #LGStanbyME https://linktr.ee/lg.stanbyme,5400 nyc apartment surprisegift lgstanbyme httpslinktreelgstanbyme,6,Housing & Real Estate
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,6,Housing & Real Estate
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,6,Housing & Real Estate
$4000 NYC apartment #shorts #nyc,4000 nyc apartment nyc,6,Housing & Real Estate
$3600 NYC apartment #shorts #nyc,3600 nyc apartment nyc,6,Housing & Real Estate
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,6,Housing & Real Estate
$1700 NYC apartment #shorts #nyc,1700 nyc apartment nyc,6,Housing & Real Estate
$$$ NYC apartment #shorts @haleyybaylee,nyc apartment haleyybaylee,6,Housing & Real Estate
$1.6M NYC apartment #shorts #nyc,16m nyc apartment nyc,6,Housing & Real Estate
$$$ NYC apartment #LGStanbyME #shorts #nyc,nyc apartment lgstanbyme nyc,6,Housing & Real Estate
$600 Malibu apartment #shorts #california,600 malibu apartment california,6,Housing & Real Estate
The only time Park Ji-sung Didn't Press Messi 🤷‍♂️,time park jisung didnt press messi,6,Housing & Real Estate
1 in a Million Moments in Sports,1 million sports,6,Housing & Real Estate
"What $18,000,000 Gets you in SOHO | NYC APARTMENT TOURS",18000000 gets soho nyc apartment tours,6,Housing & Real Estate
"What $18,000,000 Gets you in SOHO | NYC APARTMENT TOURS",18000000 gets soho nyc apartment tours,6,Housing & Real Estate
$3300 NYC apartment #shorts #nyc,3300 nyc apartment nyc,6,Housing & Real Estate
"What $18,000,000 Gets you in SOHO | NYC APARTMENT TOURS",18000000 gets soho nyc apartment tours,6,Housing & Real Estate
"What $18,000,000 Gets you in SOHO | NYC APARTMENT TOURS",18000000 gets soho nyc apartment tours,6,Housing & Real Estate
"Renting a NYC Penthouse for $3,800 a Month #shorts #nyc #realestate",renting nyc penthouse 3800 month nyc realestate,6,Housing & Real Estate
ABANDONED JAPANESE APARTMENT #shorts #nyc  @ANTONINJAPAN,abandoned japanese apartment nyc antoninjapan,6,Housing & Real Estate
This theme park worker is hilarious 😂 @Richardgroff82,theme park worker hilarious richardgroff82,6,Housing & Real Estate
How KSI Lost $2.5 Million 🤯,how ksi lost 25 million,6,Housing & Real Estate
Goldman Sachs Headquarters in New York,goldman sachs headquarters york,6,Housing & Real Estate
"TOURING a GLAMOROUS FIFTH AVENUE HOME w/ Ryan Serhant. | 641 5th Avenue, #48GH | SERHANT. Signature",touring glamorous fifth avenue home w ryan serhant 641 5th avenue 48gh serhant signature,6,Housing & Real Estate
"Touring the $250,000,000 Highest Penthouse IN THE WORLD",touring 250000000 highest penthouse world,6,Housing & Real Estate
NYC Apartment Hunt: Touring 12 NYC Apartments (videos + rent),nyc apartment hunt touring 12 nyc apartments videos rent,6,Housing & Real Estate
APARTMENT TOUR | small toronto condo #shorts,apartment tour small toronto condo,6,Housing & Real Estate
"Condo tour Toronto downtown, 2bed apartment #shorts",condo tour toronto downtown 2bed apartment,6,Housing & Real Estate
"MY $2,500,000 FULL APARTMENT TOUR",2500000 apartment tour,6,Housing & Real Estate
Architect Explores New York City's Greenwich Village | Walking Tour | Architectural Digest,architect explores york citys greenwich village walking tour architectural digest,6,Housing & Real Estate
How SoHo NYC Became The Cast Iron District | Walking Tour | Architectural Digest,how soho nyc became cast iron district walking tour architectural digest,6,Housing & Real Estate
TINY ROOFTOP NYC APARTMENT! #nyc #realestate #apartmenttour #newyork #nycapartment #shorts,tiny rooftop nyc apartment nyc realestate apartmenttour newyork nycapartment,6,Housing & Real Estate
$1800 NYC apartment #shorts #nyc,1800 nyc apartment nyc,6,Housing & Real Estate
$3100 NYC apartment #shorts #nyc,3100 nyc apartment nyc,6,Housing & Real Estate
"Renting a NYC Penthouse for $3,800 a Month #shorts #nyc #realestate",renting nyc penthouse 3800 month nyc realestate,6,Housing & Real Estate
The Architectural Detail Disappearing from NYC,architectural detail disappearing nyc,6,Housing & Real Estate
"Welcome to My $28,000,000 Apartment #shorts #nyc #realestate",welcome 28000000 apartment nyc realestate,6,Housing & Real Estate
I Worked Odd Jobs in NYC to Pay My Rent,worked odd jobs nyc pay rent,6,Housing & Real Estate
2.5 million NYC apartment #shorts #nyc,25 million nyc apartment nyc,6,Housing & Real Estate
"$135,000,000 NYC Penthouse views during the day or at night? #shorts",135000000 nyc penthouse views day night,6,Housing & Real Estate
Guess the price of this NYC Duplex Penthouse Apartment #shorts,guess price nyc duplex penthouse apartment,6,Housing & Real Estate
"$5,200,000 Gramercy Park NYC Penthouse Tour  #shorts #nyc",5200000 gramercy park nyc penthouse tour nyc,6,Housing & Real Estate
"$10,000,000 Historic NYC West Village Apartment Tour #shorts #nyc",10000000 historic nyc west village apartment tour nyc,6,Housing & Real Estate
"$20,000,000 Uptown NYC Penthouse Apartment Tour #shorts #nyc",20000000 uptown nyc penthouse apartment tour nyc,6,Housing & Real Estate
Guess the price of this NYC Midtown Penthouse Apartment #shorts,guess price nyc midtown penthouse apartment,6,Housing & Real Estate
